id,address,categories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
AVwd5fG-IN2L1WUf0LoF,8701 Keystone Xing,"Restaurants,Dessert Shops,American Restaurant and Dessert Shop",Indianapolis,US,us/williamscrk/indianapolis/8701keystonexing/1788339867,39.760594,-86.121101,http://www.citysearch.com/profile/menu/36644899?singlePlatformId=cheesecake-factory-14,12.95,12.95,USD,2016-07-10T22:53:29Z,"Smoked gouda, red onion and cilantro",B.b.q. Chicken Pizza,The Cheesecake Factory,46240,USD,25.0,40,Williams Crk
AVwd5fG-IN2L1WUf0LoF,8701 Keystone Xing,"Restaurants,Dessert Shops,American Restaurant and Dessert Shop",Indianapolis,US,us/williamscrk/indianapolis/8701keystonexing/1788339867,39.760594,-86.121101,http://www.citysearch.com/profile/menu/36644899?singlePlatformId=cheesecake-factory-14,12.95,12.95,USD,2016-07-10T22:53:29Z,"Canadian bacon, ham, fresh pineapple, red onion, tomato sauce and mozzarella",Hawaiian Pizza,The Cheesecake Factory,46240,USD,25.0,40,Williams Crk
AVwd5fG-IN2L1WUf0LoF,8701 Keystone Xing,"Restaurants,Dessert Shops,American Restaurant and Dessert Shop",Indianapolis,US,us/williamscrk/indianapolis/8701keystonexing/1788339867,39.760594,-86.121101,http://www.citysearch.com/profile/menu/36644899?singlePlatformId=cheesecake-factory-14,12.95,12.95,USD,2016-07-10T22:53:29Z,"Roasted eggplant, red and yellow peppers, grilled onion, artichokes,  kalamata olives, tomato and mozzarella. goat cheese on request",Roasted Vegetable Pizza,The Cheesecake Factory,46240,USD,25.0,40,Williams Crk
AVwd5fG-IN2L1WUf0LoF,8701 Keystone Xing,"Restaurants,Dessert Shops,American Restaurant and Dessert Shop",Indianapolis,US,us/williamscrk/indianapolis/8701keystonexing/1788339867,39.760594,-86.121101,http://www.citysearch.com/profile/menu/36644899?singlePlatformId=cheesecake-factory-14,12.95,12.95,USD,2016-07-10T22:53:29Z,"Italian sausage, prosciutto, pepperoni, spicy salami, caramelized onions and tomato",Spicy Meat Pizza,The Cheesecake Factory,46240,USD,25.0,40,Williams Crk
AVwd5fG-IN2L1WUf0LoF,8701 Keystone Xing,Restaurant,Indianapolis,US,us/williamscrk/indianapolis/8701keystonexing/1788339867,39.760594,-86.121101,http://www.citysearch.com/profile/menu/36644899?singlePlatformId=cheesecake-factory-14,12.95,12.95,USD,2016-07-10T22:53:29Z,"Pepperoni, sausage, peppers, onions, mushrooms, mozzarella and tomato. kalamata olives on request",The Everything Pizza,The Cheesecake Factory,46240,USD,25.0,40,Williams Crk
AVwdbnCTkufWRAb551vv,8251 W Union Hills Dr,"Take Out Restaurants,Restaurants,Pizza,Pizza Place",Glendale,US,us/az/glendale/8251wunionhillsdr/572757474,33.65271,-112.23447,http://www.yellowpages.com/glendale-az/mip/papa-johns-pizza-466018284/menu,12.0,12,USD,"2016-04-20T11:43:41Z,2016-07-30T21:39:18Z","With up to 5 toppings, including specialties",Any Large Pizza,Papa John's Pizza,85308,USD,0.0,25,AZ
AVwdbnCTkufWRAb551vv,8251 W Union Hills Dr,"Pizza Place,Restaurant",Glendale,US,us/az/glendale/8251wunionhillsdr/572757474,33.65271,-112.23447,http://www.yellowpages.com/glendale-az/mip/papa-johns-pizza-466018284/menu,21.0,21,USD,"2016-04-20T11:43:41Z,2016-07-30T21:39:18Z",Three medium three topping pizzas,Medium Pizza Offers,Papa John's Pizza,85308,USD,0.0,25,AZ
AVwdcHktByjofQCxpIxp,1031 E Fairview Ave,"Restaurants,Catering,Italian Restaurant",Montgomery,US,us/al/montgomery/1031efairviewave/-1224545748,32.35228,-86.29122,http://www.citysearch.com/profile/menu/1447659?singlePlatformId=el-rey-burrito-lounge,9.95,9.95,USD,2016-04-03T00:41:35Z,Fresh steamed vegetables on a flour tortilla with marinara sauce topped with mozzarella cheese,Pizza Delmar,El Rey Burrito Lounge,36106,USD,25.0,40,AL
AVwdG8ff_7pvs4fz2WAL,1731 India St,"Restaurants,Bakeries,Coffeehouses,Italian Restaurant,Coffee Shop",San Diego,US,us/ca/sandiego/1731indiast/-1782992910,32.7235,-117.1682,http://www.citysearch.com/profile/menu/445314?singlePlatformId=cafe-zucchero,6.95,6.95,USD,2016-03-23T03:01:34Z,Kids Cheese Pizza,Pizza Formaggi,Cafe Zucchero,92101,USD,25.0,40,CA
AVwdG8ff_7pvs4fz2WAL,1731 India St,Restaurant,San Diego,US,us/ca/sandiego/1731indiast/-1782992910,32.7235,-117.1682,http://www.citysearch.com/profile/menu/445314?singlePlatformId=cafe-zucchero,6.95,6.95,USD,2016-03-23T03:01:34Z,Kids pepperoni Pizza,Pizza Pepperoni,Cafe Zucchero,92101,USD,25.0,40,CA
